gml_id,ID,NRINCID,ANNOINC,TPINCID,DTINCID,ORA,DOW,ID_VIA_1,ID_VIA_2,AMBITO,NATURA_INCID,NR_VEICOLI,NR_PEDONI,ILLESI,FERITI,MORTI,lon,lat
view_incidenti.fid-775aae18_185a8c94106_-164c,313414,313414,2021,1,2021-09-07,16:25:00,2,1865,0.0,Urbano,Scontro frontale-laterale,2,0,3,0,0,11.305920435978974,46.48912847433908
view_incidenti.fid-775aae18_185a8c94106_-164b,313520,313520,2021,2,2021-09-08,10:36:00,3,2470,4565.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,1,1,0,11.328701938113962,46.468298915217616
view_incidenti.fid-775aae18_185a8c94106_-164a,313747,313747,2021,1,2021-09-09,15:40:00,4,6000,0.0,Urbano,Urto con veicolo in momentanea fermata o arresto,2,0,2,0,0,11.337371200179328,46.497850803602255
view_incidenti.fid-775aae18_185a8c94106_-1649,314711,314711,2021,1,2021-09-16,20:30:00,4,6570,0.0,Urbano,Veicolo in marcia contro veicoli in sosta,3,0,1,0,0,11.343883221059935,46.49641118780887
view_incidenti.fid-775aae18_185a8c94106_-1648,314852,314852,2021,1,2021-09-17,17:30:00,5,2610,6120.0,Urbano,Scontro frontale-laterale,2,0,4,0,0,11.326205723287705,46.49273809861298
view_incidenti.fid-775aae18_185a8c94106_-1647,314987,314987,2021,1,2021-09-19,01:19:00,7,2430,6570.0,Urbano,Scontro frontale-laterale,2,0,4,0,0,11.328556484537224,46.494925522355494
view_incidenti.fid-775aae18_185a8c94106_-1646,316192,316192,2021,2,2021-09-27,16:10:00,1,7470,0.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,0,2,0,11.347714618409746,46.49399578964523
view_incidenti.fid-775aae18_185a8c94106_-1645,316444,316444,2021,2,2021-09-29,07:53:00,3,6090,0.0,Urbano,Scontro frontale-laterale,2,0,2,1,0,11.343491476954712,46.487251000687465
view_incidenti.fid-775aae18_185a8c94106_-1644,316583,316583,2021,1,2021-09-29,19:18:00,3,6000,0.0,Urbano,Scontro frontale-laterale,2,0,2,0,0,11.337343067720361,46.49797435149633
view_incidenti.fid-775aae18_185a8c94106_-1643,316815,316815,2021,1,2021-10-01,07:35:00,5,155,2470.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,2,0,0,11.316981484552336,46.470828639696336
view_incidenti.fid-775aae18_185a8c94106_-1642,317886,317886,2021,1,2021-10-07,17:30:00,4,7020,180.0,Urbano,Tamponamento,2,0,3,0,0,11.324057700176184,46.48772110359972
view_incidenti.fid-775aae18_185a8c94106_-1641,318083,318083,2021,2,2021-10-08,16:15:00,5,2430,0.0,Urbano,Investimento di pedone,1,1,0,1,0,11.334483200178633,46.49543890360268
view_incidenti.fid-775aae18_185a8c94106_-1640,318260,318260,2021,2,2021-10-09,20:00:00,6,450,4890.0,Urbano,Scontro frontale-laterale,2,0,1,1,0,11.324175500176182,46.486361303600354
view_incidenti.fid-775aae18_185a8c94106_-163f,319563,319563,2021,1,2021-10-19,07:00:00,2,4390,5330.0,Urbano,Urto con ostacolo accidentale,1,0,1,0,0,11.314341200173892,46.49094150360155
view_incidenti.fid-775aae18_185a8c94106_-163e,320027,320027,2021,2,2021-10-21,13:40:00,4,7470,0.0,Urbano,Fuoriuscita,1,0,0,1,0,11.344955357007033,46.49008322087418
view_incidenti.fid-775aae18_185a8c94106_-163d,321417,321417,2021,1,2021-10-30,17:15:00,6,2430,0.0,Urbano,Scontro frontale fra veicoli in marcia,2,0,4,0,0,11.328845773193262,46.4949712886385
view_incidenti.fid-775aae18_185a8c94106_-163c,321570,321570,2021,2,2021-11-02,08:25:00,2,8400,0.0,Urbano,Tamponamento,3,0,2,2,0,11.351376711990625,46.49077246860235
view_incidenti.fid-775aae18_185a8c94106_-163b,321708,321708,2021,1,2021-11-03,06:22:00,3,6510,0.0,Urbano,Fuoriuscita,1,0,1,0,0,11.319665069631256,46.50249219312649
view_incidenti.fid-775aae18_185a8c94106_-163a,321815,321815,2021,2,2021-11-03,16:44:00,3,8640,0.0,Urbano,Investimento di pedone,1,2,1,2,0,11.35673750710914,46.5030111955555
view_incidenti.fid-775aae18_185a8c94106_-1639,323186,323186,2021,1,2021-11-13,15:15:00,6,5730,0.0,Urbano,Veicolo in marcia contro veicolo in sosta,2,0,1,0,0,11.31693581604954,46.490017162818305
view_incidenti.fid-775aae18_185a8c94106_-1638,323539,323539,2021,1,2021-11-15,14:10:00,1,6060,0.0,Urbano,Tamponamento,2,0,2,0,0,11.342670000180549,46.48905000360094
view_incidenti.fid-775aae18_185a8c94106_-1637,323618,323618,2021,2,2021-11-17,08:00:00,3,2260,0.0,Urbano,Scontro frontale fra veicoli in marcia,2,0,0,2,0,11.324908700176165,46.475362503597445
view_incidenti.fid-775aae18_185a8c94106_-1636,324904,324904,2021,2,2021-11-25,18:20:00,4,3370,0.0,Urbano,Tamponamento,2,0,2,1,0,11.367975489264834,46.49173969900857
view_incidenti.fid-775aae18_185a8c94106_-1635,325073,325073,2021,2,2021-11-26,16:33:00,5,8490,0.0,Urbano,Urto con veicolo in momentanea fermata o arresto,2,0,5,1,0,11.345640264668301,46.500252096666834
view_incidenti.fid-775aae18_185a8c94106_-1634,326647,326647,2021,1,2021-12-09,13:20:00,4,5640,0.0,Urbano,Tamponamento,2,0,2,0,0,11.375799022047799,46.49865194017833
view_incidenti.fid-775aae18_185a8c94106_-1633,326831,326831,2021,1,2021-12-10,14:26:00,5,8490,0.0,Urbano,Veicolo in marcia contro veicolo in sosta,2,0,2,0,0,11.343027500180694,46.50079450360401
view_incidenti.fid-775aae18_185a8c94106_-1632,327188,327188,2021,2,2021-12-13,12:07:00,1,2647,1300.0,Urbano,Scontro frontale-laterale,2,0,2,1,0,11.334803100178524,46.477597603598014
view_incidenti.fid-775aae18_185a8c94106_-1631,328301,328301,2021,1,2021-12-21,11:10:00,2,930,0.0,Urbano,Tamponamento,2,0,2,0,0,11.328690842921059,46.47475716698635
view_incidenti.fid-775aae18_185a8c94106_-1630,328399,328399,2021,1,2021-12-20,08:30:00,1,2250,0.0,Urbano,Urto con ostacolo accidentale,1,0,1,0,0,11.371370000187698,46.49501000360243
view_incidenti.fid-775aae18_185a8c94106_-162f,328606,328606,2021,1,2021-12-23,11:50:00,4,155,3560.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,3,0,0,11.317071276999338,46.47119123223138
view_incidenti.fid-775aae18_185a8c94106_-162e,330473,330473,2022,1,2022-01-11,12:59:00,2,930,0.0,Urbano,Scontro frontale-laterale,2,0,2,0,0,11.3247006001761,46.47374750359602
view_incidenti.fid-775aae18_185a8c94106_-162d,330647,330647,2022,2,2022-01-12,17:15:00,3,2880,0.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,2,1,0,11.334017000178376,46.48573140360017
view_incidenti.fid-775aae18_185a8c94106_-162c,330817,330817,2022,1,2022-01-13,16:25:00,4,6150,0.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,2,0,0,11.347810000181912,46.49954000360361
view_incidenti.fid-775aae18_185a8c94106_-162b,332426,332426,2022,2,2022-01-26,19:15:00,3,5730,5330.0,Urbano,Scontro frontale-laterale,2,0,0,3,0,11.315321465263223,46.492208800741814
view_incidenti.fid-775aae18_185a8c94106_-162a,332666,332666,2022,2,2022-01-28,11:40:00,5,760,0.0,Urbano,Scontro frontale-laterale,2,0,1,1,0,11.3072100001724,46.4990700036037
view_incidenti.fid-775aae18_185a8c94106_-1629,332963,332963,2022,1,2022-01-31,08:30:00,1,0,0.0,Extraurbano,Scontro laterale fra veicoli in marcia,2,0,2,0,0,11.312410829039326,46.47355983286603
view_incidenti.fid-775aae18_185a8c94106_-1628,335083,335083,2022,1,2022-02-14,17:15:00,1,2470,0.0,Urbano,Tamponamento,2,0,2,0,0,11.326241071587411,46.468560199885644
view_incidenti.fid-775aae18_185a8c94106_-1627,335227,335227,2022,1,2022-02-15,14:40:00,2,2070,0.0,Urbano,Urto con veicolo in momentanea fermata o arresto,2,0,3,0,0,11.349542741639294,46.49611420093681
view_incidenti.fid-775aae18_185a8c94106_-1626,337643,337643,2022,1,2022-02-28,20:30:00,1,3340,4260.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,2,0,0,11.320186088879213,46.49041305881739
view_incidenti.fid-775aae18_185a8c94106_-1625,338020,338020,2022,2,2022-03-02,19:00:00,3,1300,2910.0,Urbano,Fuoriuscita,1,0,0,1,0,11.333716342230282,46.4778131636441
view_incidenti.fid-775aae18_185a8c94106_-1624,338377,338377,2022,1,2022-02-23,07:00:00,3,8100,0.0,Urbano,Urto con ostacolo accidentale,1,0,1,0,0,11.35388940018336,46.49555860360261
view_incidenti.fid-775aae18_185a8c94106_-1623,340311,340311,2022,1,2022-03-15,11:55:00,2,2100,0.0,Urbano,Tamponamento,2,0,3,0,0,11.33964930017987,46.49606050360283
view_incidenti.fid-775aae18_185a8c94106_-1622,340552,340552,2022,2,2022-03-16,11:12:00,3,7020,4890.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,1,1,0,11.321632900175585,46.48866850360091
view_incidenti.fid-775aae18_185a8c94106_-1621,341100,341100,2022,2,2022-03-18,11:53:00,5,4565,0.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,1,1,0,11.32911378630609,46.4676989035685
view_incidenti.fid-775aae18_185a8c94106_-1620,343230,343230,2022,1,2022-03-29,12:00:00,2,3370,3480.0,Urbano,Urto con ostacolo accidentale,1,0,1,0,0,11.351352900182661,46.4908820036014
view_incidenti.fid-775aae18_185a8c94106_-161f,343571,343571,2022,1,2022-03-30,17:56:00,3,1710,0.0,Urbano,Urto con veicolo in momentanea fermata o arresto,2,0,3,0,0,11.344466080506953,46.48497727290793
view_incidenti.fid-775aae18_185a8c94106_-161e,344093,344093,2022,1,2022-04-02,10:35:00,6,3930,0.0,Urbano,Veicolo in marcia contro veicolo in sosta,2,0,1,0,0,11.340310300180121,46.50204610360431
view_incidenti.fid-775aae18_185a8c94106_-161d,346492,346492,2022,2,2022-04-13,18:14:00,3,6960,0.0,Urbano,Investimento di pedone,1,1,1,1,0,11.34720700018155,46.48393470359962
view_incidenti.fid-775aae18_185a8c94106_-161c,346818,346818,2022,2,2022-04-15,11:56:00,5,2430,0.0,Urbano,Urto con veicolo in momentanea fermata o arresto,2,0,2,1,0,11.32902810017737,46.49493730360254
view_incidenti.fid-775aae18_185a8c94106_-161b,347262,347262,2022,1,2022-04-18,16:20:00,1,3720,0.0,Urbano,Veicolo in marcia contro veicolo in sosta,2,0,1,0,0,11.335347213006926,46.50244315276951
view_incidenti.fid-775aae18_185a8c94106_-161a,349392,349392,2022,2,2022-04-30,12:58:00,6,0,0.0,Urbano,Tamponamento,2,0,2,1,0,11.317220010896422,46.476726723949774
view_incidenti.fid-775aae18_185a8c94106_-1619,349527,349527,2022,2,2022-05-01,20:20:00,7,2400,0.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,2,1,0,11.34768735529278,46.49445136831039
view_incidenti.fid-775aae18_185a8c94106_-1618,350189,350189,2022,2,2022-05-05,07:15:00,4,3720,3030.0,Urbano,Scontro frontale-laterale,2,0,1,1,0,11.343473574161804,46.501066778006084
view_incidenti.fid-775aae18_185a8c94106_-1617,353105,353105,2022,2,2022-05-16,07:55:00,1,4830,0.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,1,1,0,11.332671600178198,46.49173380360169
view_incidenti.fid-775aae18_185a8c94106_-1616,253603,253603,2020,1,2020-10-02,13:30:00,5,6090,910.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,2,0,0,11.3422312528864,46.4901717900322
view_incidenti.fid-775aae18_185a8c94106_-1615,253783,253783,2020,2,2020-10-04,00:30:00,7,3480,0.0,Urbano,Fuoriuscita,1,0,1,1,0,11.32710060063779,46.483700641246585
view_incidenti.fid-775aae18_185a8c94106_-1614,254305,254305,2020,2,2020-10-07,17:20:00,3,2880,0.0,Urbano,Tamponamento,2,0,1,1,0,11.338968519323597,46.48660874363234
view_incidenti.fid-775aae18_185a8c94106_-1613,255701,255701,2020,1,2020-10-16,09:40:00,5,8490,0.0,Urbano,Urto con veicolo in momentanea fermata o arresto,2,0,2,0,0,11.345441949228368,46.500842196000065
view_incidenti.fid-775aae18_185a8c94106_-1612,256097,256097,2020,1,2020-10-19,11:15:00,1,5550,0.0,Urbano,Urto con ostacolo accidentale,1,0,1,0,0,11.34455240018106,46.501759403604254
view_incidenti.fid-775aae18_185a8c94106_-1611,258364,258364,2020,1,2020-10-20,16:00:00,2,8490,0.0,Urbano,Veicolo in marcia contro veicolo in sosta,2,0,1,0,0,11.343016900180771,46.50074470360401
view_incidenti.fid-775aae18_185a8c94106_-1610,262184,262184,2020,2,2020-11-09,13:55:00,1,4140,3720.0,Urbano,Infortunio per sola frenata improvvisa,1,0,1,1,0,11.33917490017987,46.501783603604274
view_incidenti.fid-775aae18_185a8c94106_-160f,262367,262367,2020,2,2020-11-10,17:20:00,2,4260,4260.0,Urbano,Investimento di pedone,1,1,1,1,0,11.32887977046633,46.48999787554923
view_incidenti.fid-775aae18_185a8c94106_-160e,264815,264815,2020,1,2020-11-13,15:30:00,5,6900,0.0,Urbano,Veicolo in marcia contro veicolo in sosta,2,0,1,0,0,11.346759344707486,46.48799822470872
view_incidenti.fid-775aae18_185a8c94106_-160d,267825,267825,2020,1,2020-12-07,11:39:00,1,1710,0.0,Urbano,Urto con ostacolo accidentale,1,0,1,0,0,11.339190000179656,46.47819000359815
view_incidenti.fid-775aae18_185a8c94106_-160c,269098,269098,2020,1,2020-12-09,18:40:00,3,3540,0.0,Urbano,Tamponamento,2,0,2,0,0,11.340196935703027,46.4956336074067
view_incidenti.fid-775aae18_185a8c94106_-160b,269148,269148,2020,2,2020-12-10,07:40:00,4,4260,0.0,Urbano,Fuoriuscita,1,0,0,1,0,11.318505509094878,46.49000908609331
view_incidenti.fid-775aae18_185a8c94106_-160a,270594,270594,2020,1,2020-12-20,15:50:00,7,3370,0.0,Urbano,Scontro laterale fra veicoli in marcia,2,0,4,0,0,11.343629477520704,46.48795897290564
view_incidenti.fid-775aae18_185a8c94106_-1609,270852,270852,2020,2,2020-12-22,15:45:00,2,2910,3400.0,Urbano,Scontro frontale-laterale,2,0,1,1,0,11.33367000017831,46.477830003598115
