gml_id,NRINCID,ANNOINC,DATA,TPINCID,TIPO_INCIDENTE,VIA1,CIVICO1,NATURA,NATURA_DE,NAT_STRADA,LIMITEV,PARTIC_STR,TIPO_STRADA,PAVIMENTAZIONE,SEGNALETICA,ILLUMINAZIONE,CONDIZIONI,FONDO_STRAD,COND_METEO,COND_TRAFFIC,VISIBILITA,DTINCID,DOW,VIA2,CIVICO2,lon,lat
view_incidenti_pedone.2014178,178,2014,26-02-2014,2,CON FERITI,VIA GIUSEPPE GARIBALDI / GIUSEPPE-GARIBALDI-STRASSE,informazione non disponibile,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,INTERSEZIONE REGOLATA CON SEMAFORO,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,BUONA,SENZA ANOMALIE,BAGNATO,PIOGGIA,INTENSO,GIORNO LUCE NATURALE,2014-02-26,3,informazione non disponibile,informazione non disponibile,11.355460144009413,46.49506061247403
view_incidenti_pedone.20141063,1063,2014,06-11-2014,2,CON FERITI,VIA MASO DELLA PIEVE / PFARRHOFSTRASSE,informazione non disponibile,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,RETTILINEO,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,BUONA,SENZA ANOMALIE,BAGNATO,PIOGGIA,INTENSO,GIORNO LUCE NATURALE,2014-11-06,4,informazione non disponibile,informazione non disponibile,11.334357296600702,46.46745193592948
view_incidenti_pedone.2014979,979,2014,13-10-2014,2,CON FERITI,VIA MASO DELLA PIEVE / PFARRHOFSTRASSE,8 ,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,RETTILINEO,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,BUONA,SENZA ANOMALIE,BAGNATO,PIOGGIA,INTENSO,GIORNO LUCE NATURALE,2014-10-13,1,informazione non disponibile,informazione non disponibile,11.337407717334742,46.472201641364784
view_incidenti_pedone.2015156,156,2015,02-03-2015,2,CON FERITI,PIAZZA GIUSEPPE MAZZINI / GIUSEPPE-MAZZINI-PLATZ,informazione non disponibile,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,INTERSEZIONE REGOLATA CON SEMAFORO,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,informazione non disponibile,BUONA,SENZA ANOMALIE,BAGNATO,NUVOLOSO,INTENSO,GIORNO LUCE NATURALE,2015-03-02,1,informazione non disponibile,informazione non disponibile,11.340095546869287,46.501547680736834
view_incidenti_pedone.2014153,153,2014,19-02-2014,2,CON FERITI,VIA RESIA / RESCHENSTRASSE,18 ,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,RETTILINEO,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,BUONA,SENZA ANOMALIE,BAGNATO,PIOGGIA,INTENSO,GIORNO LUCE ARTIFICIALE,2014-02-19,3,informazione non disponibile,informazione non disponibile,11.31660762596078,46.49015621186419
view_incidenti_pedone.201521,21,2015,09-01-2015,2,CON FERITI,CORSO ITALIA / ITALIENALLEE,informazione non disponibile,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,INTERSEZIONE REGOLATA CON SEMAFORO,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,informazione non disponibile,SENZA ANOMALIE,ASCIUTTO,SERENO,INTENSO,GIORNO LUCE ARTIFICIALE,2015-01-09,5,VIA ORAZIO / HORAZSTRASSE,informazione non disponibile,11.340060306000364,46.497539099384625
view_incidenti_pedone.2013132,132,2013,27-02-2013,1,SENZA FERITI,VIALE DRUSO / DRUSUSALLEE,informazione non disponibile,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,INTERSEZIONE,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,BUONA,SENZA ANOMALIE,ASCIUTTO,NUVOLOSO,INTENSO,GIORNO LUCE NATURALE,2013-02-27,3,VIA SORRENTO / SORRENTSTRASSE,informazione non disponibile,11.328315946263993,46.494894613379415
view_incidenti_pedone.2014704,704,2014,30-07-2014,2,CON FERITI,VIA LORENZ BÖHLER / LORENZ-BÖHLER-STRASSE,informazione non disponibile,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,RETTILINEO,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,BUONA,SENZA ANOMALIE,ASCIUTTO,NUVOLOSO,INTENSO,GIORNO LUCE NATURALE,2014-07-30,3,informazione non disponibile,informazione non disponibile,11.309893507117547,46.49977097882621
view_incidenti_pedone.20141012,1012,2014,22-10-2014,3,MORTALE,VIA ROMA / ROMSTRASSE,76 ,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,RETTILINEO,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,BUONA,SENZA ANOMALIE,ASCIUTTO,NUVOLOSO,INTENSO,GIORNO LUCE NATURALE,2014-10-22,3,informazione non disponibile,informazione non disponibile,11.341929734711059,46.490639637849114
view_incidenti_pedone.20131200,1200,2013,23-12-2013,2,CON FERITI,PIAZZA DELLA VITTORIA / SIEGESPLATZ,informazione non disponibile,INVESTIMENTO DI PEDONE,EIN FUSSGÄNGER WURDE ANGEFAHREN,STRADA URBANA,40.0,informazione non disponibile,UNICA CARREGGIATA A DOPPIO SENSO,ASFALTATA,ORIZZONTALE VERTICALE,BUONA,SENZA ANOMALIE,ASCIUTTO,NUVOLOSO,INTENSO,GIORNO LUCE NATURALE,2013-12-23,1,informazione non disponibile,informazione non disponibile,11.345333468000765,46.499529662956235
